City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,11.3,63,2,0.45,US,1729812402
1,saurimo,-9.6608,20.3916,18.22,95,100,1.23,AO,1729812426
2,sao jose da coroa grande,-8.8978,-35.1478,24.99,71,1,5.2,BR,1729812428
3,kingston,17.997,-76.7936,29.53,79,20,3.09,JM,1729812405
4,kiunga,-6.1219,141.2906,25.19,73,95,1.16,PG,1729812194
5,kasongo-lunda,-6.4667,16.8167,22.63,85,56,0.84,CD,1729812431
6,iqaluit,63.7506,-68.5145,-3.15,63,100,5.14,CA,1729812432
7,san patricio,28.017,-97.5169,27.97,45,0,5.62,US,1729812433
8,bredasdorp,-34.5322,20.0403,12.84,86,10,2.41,ZA,1729812435
9,sitka,57.0531,-135.33,6.94,76,100,2.57,US,1729812436
10,ribeira grande,38.5167,-28.7,17.65,65,40,4.92,PT,1729812437
11,den burg,53.0542,4.7972,10.99,93,1,3.09,NL,1729812438
12,aleksandrovsk-sakhalinskiy,50.8975,142.1561,3.85,73,71,2.19,RU,1729812439
13,kodiak,57.79,-152.4072,6.73,93,100,9.26,US,1729812327
14,puerto ayora,-0.7393,-90.3518,20.86,95,64,3.13,EC,1729812442
15,papatowai,-46.5619,169.4708,15.37,46,19,7.74,NZ,1729812443
16,vadso,70.0744,29.7487,4.09,87,76,5.14,NO,1729812444
17,hilo,19.7297,-155.09,28.86,70,0,4.12,US,1729812445
18,olonkinbyen,70.9221,-8.7187,0.17,97,96,13.55,SJ,1729812447
19,corumba,-19.0092,-57.6533,34.9,37,84,2.18,BR,1729812448
20,longyearbyen,78.2186,15.6401,1.91,75,20,6.69,SJ,1729812449
21,uturoa,-16.7333,-151.4333,26.57,76,95,9.1,PF,1729812450
22,vorgashor,67.5833,63.95,-6.56,91,99,2.49,RU,1729812451
23,tazacorte,28.629,-17.9293,22.54,76,75,4.63,ES,1729812452
24,port-aux-francais,-49.35,70.2167,2.39,68,83,11.5,TF,1729812454
25,okhotsk,59.3833,143.3,-4.31,92,100,7.25,RU,1729812455
26,puerto natales,-51.7236,-72.4875,4.41,79,81,7.37,CL,1729812456
27,thinadhoo,0.5333,72.9333,28.28,69,98,5.66,MV,1729812457
28,punta arenas,-53.15,-70.9167,5.06,75,20,12.35,CL,1729812321
29,bima,-8.4667,118.7167,26.94,76,4,2.29,ID,1729812459
30,acajutla,13.5928,-89.8275,27.96,71,82,1.63,SV,1729812461
31,blackmans bay,-43.0167,147.3167,9.18,76,33,0.89,AU,1729812462
32,georgetown,5.4112,100.3354,26.96,87,20,2.24,MY,1729812362
33,huarmey,-10.0681,-78.1522,19.2,83,40,4.67,PE,1729812464
34,namtsy,62.7161,129.6658,-15.74,96,89,2.09,RU,1729812465
35,badger,64.8,-147.5333,-1.68,84,75,0.0,US,1729812466
36,bethel,41.3712,-73.414,14.56,62,0,3.6,US,1729812433
37,port augusta,-32.5,137.7667,16.51,47,1,2.89,AU,1729812469
38,klyuchi,52.2667,79.1667,7.18,77,100,7.05,RU,1729812470
39,tostado,-29.232,-61.7692,22.21,57,0,4.48,AR,1729812471
40,edinburgh of the seven seas,-37.0676,-12.3116,13.52,81,8,11.8,SH,1729812316
